Date : 2023-03-18 16:38:44
Directory : /Users/juanma/development/golang/happ
Total : 258 files,  45144 codes, 5441 comments, 5995 blanks, all 56580 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |         93 |     30,189 |      4,099 |      4,147 |     38,435 |
| Dart             |        119 |     12,981 |      1,163 |      1,724 |     15,868 |
| Go Checksum File |          1 |        685 |          0 |          1 |        686 |
| GraphQL          |         20 |        671 |         11 |         37 |        719 |
| JSON             |          2 |        145 |          0 |          2 |        147 |
| YAML             |          4 |        128 |        114 |         32 |        274 |
| XML              |          9 |        123 |         48 |         11 |        182 |
| Go Module File   |          1 |         99 |          0 |          5 |        104 |
| Groovy           |          3 |         89 |          5 |         22 |        116 |
| Markdown         |          2 |         13 |          0 |          9 |         22 |
| Swift            |          1 |         12 |          0 |          2 |         14 |
| Properties       |          2 |          8 |          1 |          2 |         11 |
| C++              |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        258 |     45,144 |      5,441 |      5,995 |     56,580 |
| happ_client                                                                                                                         |        159 |     13,888 |      1,308 |      1,811 |     17,007 |
| happ_client (Files)                                                                                                                 |          5 |        262 |         88 |         45 |        395 |
| happ_client/android                                                                                                                 |         12 |        159 |         52 |         33 |        244 |
| happ_client/android (Files)                                                                                                         |          3 |         38 |          0 |         10 |         48 |
| happ_client/android/app                                                                                                             |          8 |        116 |         51 |         22 |        189 |
| happ_client/android/app (Files)                                                                                                     |          1 |         54 |          5 |         13 |         72 |
| happ_client/android/app/src                                                                                                         |          7 |         62 |         46 |          9 |        117 |
| happ_client/android/app/src/debug                                                                                                   |          1 |          4 |          4 |          1 |          9 |
| happ_client/android/app/src/main                                                                                                    |          5 |         54 |         38 |          7 |         99 |
| happ_client/android/app/src/main (Files)                                                                                            |          1 |         28 |          6 |          1 |         35 |
| happ_client/android/app/src/main/res                                                                                                |          4 |         26 |         32 |          6 |         64 |
| happ_client/android/app/src/main/res/drawable                                                                                       |          1 |          4 |          7 |          2 |         13 |
| happ_client/android/app/src/main/res/drawable-v21                                                                                   |          1 |          4 |          7 |          2 |         13 |
| happ_client/android/app/src/main/res/values                                                                                         |          1 |          9 |          9 |          1 |         19 |
| happ_client/android/app/src/main/res/values-night                                                                                   |          1 |          9 |          9 |          1 |         19 |
| happ_client/android/app/src/profile                                                                                                 |          1 |          4 |          4 |          1 |          9 |
| happ_client/android/gradle                                                                                                          |          1 |          5 |          1 |          1 |          7 |
| happ_client/android/gradle/wrapper                                                                                                  |          1 |          5 |          1 |          1 |          7 |
| happ_client/graphql                                                                                                                 |         16 |        264 |          3 |          0 |        267 |
| happ_client/graphql/mutations                                                                                                       |          7 |         98 |          0 |          0 |         98 |
| happ_client/graphql/queries                                                                                                         |          9 |        166 |          3 |          0 |        169 |
| happ_client/ios                                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| happ_client/ios/Runner                                                                                                              |          7 |        222 |          2 |          9 |        233 |
| happ_client/ios/Runner (Files)                                                                                                      |          2 |         13 |          0 |          3 |         16 |
| happ_client/ios/Runner/Assets.xcassets                                                                                              |          3 |        148 |          0 |          4 |        152 |
| happ_client/ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                           |          1 |        122 |          0 |          1 |        123 |
| happ_client/ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                         |          2 |         26 |          0 |          3 |         29 |
| happ_client/ios/Runner/Base.lproj                                                                                                   |          2 |         61 |          2 |          2 |         65 |
| happ_client/lib                                                                                                                     |        118 |     12,967 |      1,153 |      1,717 |     15,837 |
| happ_client/lib (Files)                                                                                                             |          2 |        134 |         47 |         29 |        210 |
| happ_client/lib/src                                                                                                                 |        116 |     12,833 |      1,106 |      1,688 |     15,627 |
| happ_client/lib/src (Files)                                                                                                         |          1 |         34 |          6 |         11 |         51 |
| happ_client/lib/src/api                                                                                                             |          4 |      4,053 |          9 |        689 |      4,751 |
| happ_client/lib/src/api/graphql                                                                                                     |          4 |      4,053 |          9 |        689 |      4,751 |
| happ_client/lib/src/client                                                                                                          |          2 |         74 |          6 |         18 |         98 |
| happ_client/lib/src/models                                                                                                          |          1 |         48 |          0 |          3 |         51 |
| happ_client/lib/src/repos                                                                                                           |          2 |        282 |          2 |         48 |        332 |
| happ_client/lib/src/riverpod                                                                                                        |         39 |      1,050 |         54 |        320 |      1,424 |
| happ_client/lib/src/riverpod/acceptInvitation                                                                                       |          2 |         39 |          1 |         13 |         53 |
| happ_client/lib/src/riverpod/addRemove                                                                                              |          2 |         68 |         27 |         16 |        111 |
| happ_client/lib/src/riverpod/auth                                                                                                   |          1 |         16 |          1 |          5 |         22 |
| happ_client/lib/src/riverpod/eventGuests                                                                                            |          2 |         40 |          2 |         13 |         55 |
| happ_client/lib/src/riverpod/eventHosts                                                                                             |          2 |         40 |          2 |         13 |         55 |
| happ_client/lib/src/riverpod/inviteGuestsAndOrganizers                                                                              |          2 |         41 |          0 |         12 |         53 |
| happ_client/lib/src/riverpod/inviteUserSelect                                                                                       |          2 |         64 |          4 |         22 |         90 |
| happ_client/lib/src/riverpod/locationSearch                                                                                         |          4 |        128 |          2 |         40 |        170 |
